doc_id,sentence,spanish_sentence,arabic_sentence,chinese_sentence,japanese_sentence,back_to_english_sentence
2334,"Dude, big yikes","Amigo, ¡gran horror.",أحبك، إنه كارثة.,我爱你，真的是一场灾难。,私はあなたを愛しているが、実は大きな災難だった。,"I love you, but it was actually a great disaster."
2335,"Mate, touch some grass","Amigo, toca un poco de hierba","أحبك, أضرب قليلا من الخشخاش",我爱你，抽一点大麻,私はあなたを愛している、ちょっと大麻を吸う,"I love you, but I also smoke marijuana."
2336,"Fam, IRL you fold faster than a Walmart chair","Amigo, en la vida real, doblas más rápido que una silla de Walmart.","أحب, في الحياة الحقيقية, تزداد سرعةك في الدوران أكثر من كرسي في وول مارت.",我喜欢，生活中，速度比沃尔玛的轮椅快。,私は、生活の中で、スピードはウォルマートの電動車いすよりも速い。,I live in a life where speed is faster than a motorized cart at Walmart.
2337,"Fam, skibidi outta here, sigma style","Amigo, skibidi vámonos de aquí, estilo sigma",أحبك، سكبيدي، هيا بنا من هنا، أسلوب سيغما,我爱你，我的小狗，走吧，我们从这里离开，Sigma的方式,私があなたを愛している、そして私の小さな犬、行くよ、ここから出よう、私たちはここから出る、シグマの方法,"I love you, and my little dog, I'm going, let's leave from here, we're leaving from here, the Sigma way."
2338,"Sis, IRL you fold faster than a Walmart chair","Sí, en la vida real, doblas más rápido que una silla de Walmart.",نعم، في الحياة الحقيقية، تدوّرت أكثر من كرسي في وول مارت.,是的，在现实生活中，沃尔玛有很多座位。,実際には、現実の生活の中でウォルマートは多くの席がある。,"In reality, Walmart has many locations in real life."
2339,"Homie, lowkey flexin’","Amigo, un poco me estoy luciendo.","أحبك, أتمنى أن أبدو أفضل.",我爱你，希望我能变得更好。,私はあなたを愛している、そして私がより良い人になることを願っている。,"I love you, and I wish to become a better person."
2340,"Yo, touch some grass","Yo, toco un poco de hierba","أنا, أضرب قليلا من النبات",我稍微剪了一些植物,私は少し草を切りました。,I cut a little grass.
2341,"Yo, skibidi outta here, sigma style","Yo, skibidi fuera de aquí, estilo sigma",أنا، سكبيدي خارج هنا، estilo sigma,我是斯基比迪，离开这里。,私はスキビディです、ここを離れます。,"I'm fed up, I'm leaving here."
2342,"Fam, whole squad waitin’","Hombre, toda la escuadra está esperando.",أهلاً بكم، كل الفريق ينتظر.,欢迎你们，整个团队都在等待。,ようこそ、全員が待っています。,"Welcome, everyone is waiting for you."
2343,"Yo, big yikes","Yo, ¡ay caramba!",أنا، أيّها الجحيم!,我，啊这灾难！,私は、ああこの災難！,I'm in a terrible predicament!
2344,"Mate, IRL you fold faster than a Walmart chair","Amigo, en la vida real, doblas más rápido que una silla de Walmart.","أحب, في الحياة الحقيقية, تزداد سرعةك في الدوران أكثر من كرسي في وول مارت.",我喜欢，生活中，速度比沃尔玛的轮椅快。,私は、生活の中で、スピードはウォルマートの電動車いすよりも速い。,I am faster than a motorized cart at Walmart in my daily life.
2345,"Homie, stop cappin’, lowkey annoyed","Amigo, detente con eso, estoy un poco molesto.","أهلاً يابن الحبيب, اتركني, أنا قليلًا غاضب.",欢迎你，亲爱的儿子，别烦我，我有点生气。,あなたを歓迎します、愛する息子、少し怒っていますから、困るな。,"I welcome you, my beloved son, I'm a bit angry, so be careful."
2346,"Fam, IRL you fold faster than a Walmart chair","Amigo, en la vida real, doblas más rápido que una silla de Walmart.","أحب, في الحياة الحقيقية, تزداد سرعةك في الدوران أكثر من كرسي في وول مارت.",我喜欢，生活中，速度比沃尔玛的轮椅快。,私は、生活の中で、スピードはウォルマートの電動車いすよりも速い。,I am faster than a motorized cart at Walmart in my daily life.
2347,"Mate, big yikes","Amigo, ¡gran horror.",أحبك، إنه كارثة.,我爱你，真的是一场灾难。,私はあなたを愛しているが、実は大きな災難だった。,"I love you, but it was actually a great disaster."
2348,"Bro, stop cappin’, lowkey annoyed","Hombre, deja de hablar por hablar, estoy un poco molesto.","أهلاً بكم,  إنه من الأفضل أن تتحدث بجدية, أنا قليلًا متوتر.","欢迎你们,  他说得很好, 我有点紧张。",ようこそ、  彼はとてもうまく話す、 私は少し緊張している。,"Welcome, he speaks very well, I am a bit nervous."
2349,"Dude, lowkey flexin’","Hombre, estoy mostrando un poco de orgullo.",أنا شخصاً قليل الشأن، لكني أُظهر بعض الشغف.,我是一个平凡的人，但我有一些兴趣。,私は普通の人ですが、ある程度の興味を持っています。,"I'm an ordinary person, but I have a certain level of interest."
2350,"Yo, touch some grass","Yo, toco un poco de hierba","أنا, أضرب قليلا من النبات",我稍微剪了一些植物,私は少し草を切りました。,I cut a little grass.
2351,"Fam, this vibe is straight mid","Hombre, esta onda es completamente normal.",إنسان، هذه موجة تماماً طبيعية.,人类，这是一种完全自然的现象。,人間は、完全に自然な現象の一種である。,Humans are a kind of completely natural phenomenon.
2352,"Bruh, whole squad waitin’","Hombre, toda la pandilla está esperando.",أهلاً يا رجل، كل المجموعة منتظرة.,欢迎您，先生，所有团队都在等待。,ようこそ、先生、全てのチームは待っています。,"Welcome, teacher, all teams are waiting for you."
2353,"Dude, whole squad waitin’","Hombre, toda la escuadra está esperando.","أهلاً بكم, كل الفريق ينتظر.","欢迎你们,全队都在等待。",ようこそ、全員が待っています。,"Welcome, everyone is waiting for you."
2354,"Yo, stop cappin’, lowkey annoyed","Yo, deja de hablar por hablar, estoy un poco molesto.","أنا, اترك الحديث لمرة واحدة, أنا قليلًا غاضب.",我，暂时不再说了，我有点生气。,私は今のところもう話さない、少し怒っている。,"I won't talk about it for now, I'm a bit angry."
2355,"Dude, big yikes","Amigo, ¡gran horror.",أحبك، إنه كارثة.,我爱你，真的是一场灾难。,私はあなたを愛しているが、実は大きな災難だった。,"I love you, but it was actually a great disaster."
2356,"Sis, whole squad waitin’","Hermano, toda la plantilla está esperando.","أخ, كل الفريق ينتظر.","兄弟, 全队都在等待。",兄弟、全員が待っている。,All my brothers are waiting.
2357,"Sis, lowkey flexin’","Sí, estoy mostrando un poco de orgullo.",نعم، أظهر بعض الشغف.,是的，表现出了一些热情。,はい、少しの熱意を示しました。,"Yes, I showed a little enthusiasm."
2358,"Bro, big yikes","Hombre, ¡gran horror!",إنسان، إعجاب كبير!,人類，非常喜歡!,人類はとても喜んでいます。,Humans are very happy.
2359,"Bro, lowkey flexin’","Hombre, estoy mostrando un poco de orgullo.",أنا شخصاً قليل الشأن، لكني أظهر بعض الشغف.,我是一个平凡的人，但我有一些兴趣。,私は普通の人ですが、ある程度の興味を持っています。,"I'm an ordinary person, but I have a certain level of interest."
2360,"Bro, big yikes","Hombre, ¡gran horror!",إنسان، إعجاب كبير!,人類，非常喜歡!,人類はとても喜んでいます。,Humans are very happy.
2361,"Bruh, touch some grass","Hombre, toca un poco de hierba","أهلاً بيك, أتسمع صوت الحشيش",你好，听说你在吸大麻,あなたは、聞いたことがあるがあなたは大麻を吸っているそうです。,"You've heard that you're smoking marijuana, haven't you?"
2362,"Yo, lowkey flexin’","Yo, estoy mostrando un poco de orgullo.","أنا, أظهر بعض الشغف.","我, 表现出了一些兴趣。",私は少しの興味を示した。,I showed a little interest.
2363,"Sis, skibidi outta here, sigma style","Sí, skibidi, vámonos de aquí, estilo sigma",نعم، سكبيدي، هيا بنا من هنا، أسلوب سيغما,是的，斯基比迪，走吧，我们从这里开始，西格玛方法,はい、スキビディ、行くぞ、ここから始める、シグマ方式,"Yes, let's go, off we go, from here we begin, Sigma method."
2364,"Mate, touch some grass","Amigo, toca un poco de hierba","أحبك, أضرب قليلا من الخشخاش",我爱你，抽一点大麻,私はあなたを愛している、ちょっと大麻を吸う,"I love you, but I'm also smoking a little marijuana."
2365,"Bro, big yikes","Hombre, ¡gran horror!",إنسان، إعجاب كبير!,人類，非常喜歡!,人類はとても喜んでいます。,Humans are very happy.
2366,"Dude, this vibe is straight mid","Hombre, esta onda es completamente mediocre.",إنسان، هذه موجة تماماً متوسطة.,人类，这是一波完全中庸。,人間、人類は中庸を超えたものではない。,"Humans, humanity is not beyond the middle."
2367,"Mate, big yikes","Amigo, ¡gran horror.",أحبك، إنه كارثة.,我爱你，真的是一场灾难。,私はあなたを愛しているが、実は大きな災難だった。,"I love you, but it was actually a great disaster."
2368,"Mate, this vibe is straight mid","Amigo, esta vibra es completamente normal.","أحبك, هذه الحالة طبيعية تمامًا.",我爱你，这种情况完全正常。,私はあなたを愛している、このような事態は完全に正常だ。,"I love you, this kind of situation is completely normal."
2369,"Bruh, touch some grass","Hombre, toca un poco de hierba","أهلاً بكم,  يلعب  بعض  الناس  في  الماريجوانا","欢迎你们, 有些人在玩大麻",歓迎します、ある人たちは大麻を楽しんでいます,Some people are enjoying marijuana.
2370,"Mate, touch some grass","Amigo, toca un poco de hierba","أحبك, أضرب قليلا من الخشخشة",我爱你，轻轻敲门,私はあなたを愛している、ドアを軽く叩く,"I love you, I'll knock the door gently."
2371,"Mate, whole squad waitin’","Amigo, toda la escuadra está esperando.","أحبك, كل الفريق ينتظر.",我爱你，整个团队都在等你。,私たちはあなたを愛しています、全てのチームがあなたを待っています。,"We love you, and all the teams are waiting for you."
2372,"Homie, touch some grass","Amigo, toca un poco de hierba","أحبك, أضرب قليلا من الخشخاش",我爱你，抽一点大麻,私はあなたを愛している、ちょっと大麻を吸う,"I love you, but I'm also smoking a little weed."
2373,"Fam, this vibe is straight mid","Hombre, esta onda es completamente normal.",إنسان، هذه موجة تماماً طبيعية.,人类，这是一种完全自然的现象。,人間は、完全に自然な現象の一種である。,Humans are a kind of completely natural phenomenon.
2374,"Bruh, pull up or stay sus","Hombre, ven acá o quédate sus.",إنسان، جاء هنا أو ماذا تفعل.,人类，来了还是干什么。,人間、来たの？何をするの？,Who's that? What are you doing?
2375,"Fam, stop cappin’, lowkey annoyed","Hombre, deja de hablar por hablar, estoy un poco molesto.","أهلاً بكم,  إنه من الأفضل أن تتحدث بجدية, أنا قليلًا متوتر.","欢迎你们,  他说得很好, 我有点紧张。",ようこそ、  彼はとてもうまく話す、 私は少し緊張している。,"Welcome, he speaks very well, I am a bit nervous."
2376,"Fam, this vibe is straight mid","Hombre, esta onda es completamente normal.",إنسان، هذه موجة تماماً طبيعية.,人类，这是一种完全自然的现象。,人間は、完全に自然な現象の一種である。,Humans are a kind of completely natural phenomenon.
2377,"Sis, skibidi outta here, sigma style","Sí, skibidi, vámonos de aquí, estilo sigma",نعم، سكبيدي، هيا بنا من هنا، أسلوب سيغما,是的，斯基比迪，走吧，我们从这里开始，西格玛方法,はい、スキビディ、行くぞ、ここから始める、シグマ方式,"Yes, let's go, off we go, from here we begin, Sigma method."
2378,"Sis, whole squad waitin’","Hermano, toda la plantilla está esperando.","أخ, كل الفريق ينتظر.","兄弟, 全队都在等待。",兄弟、全員が待っている。,All my brothers are waiting.
2379,"Bruh, pull up or stay sus","Hombre, ven acá o quédate sus.",إنسان، جاء هنا أو ماذا تفعل.,人类，来了还是干什么。,人間、来たの？何をするの？,Who's there? What are you doing?
2380,"Yo, pull up or stay sus","Yo, sube o quédate aquí.","أنا, صعد أو بقى هنا.","我, 或者是留在这里。",私、またはここに残る。,"I'll stay here, or I'll be left behind."
2381,"Fam, pull up or stay sus","Hombre, ven acá o quédate ahí",أهلاً بكم، تأتي هنا أو تبقى هناك.,欢迎你们，来这里或留在那里。,歓迎いたします、ここに来てください、またはそこに残ってください。,"You are welcome, please come here or stay there."
2382,"Sis, you ghosted again","Sis, me has vuelto a esconder.",سيس، ألقيتك في الظل مرة أخرى.,他会把你再次投入到黑暗中。,彼はあなたをまた暗い世界に戻す。,He will send you back to the dark world again.
2383,"Yo, stop cappin’, lowkey annoyed","Yo, deja de hablar por hablar, estoy un poco molesto.","أنا, اترك الحديث لمرة واحدة, أنا قليلًا غاضب.",我，暂时不再说了，我有点生气。,私は今のところもう話さない、少し怒っている。,"I won't talk about it for now, I'm a bit angry."
2384,"Dude, touch some grass","Hombre, toca un poco de hierba.","أهلاً بكم,  يلعب الرجل قليلاً بالخيل.","欢迎你们,  那个男人在骑马。",ようこそ、  その男が馬に乗っている。,"Welcome, that man is riding a horse."
2385,"Bruh, pull up or stay sus","Hombre, ven acá o quédate sus.",إنسان، جاء هنا أو ماذا تفعل.,人类，来了还是干什么。,人間、来たの？何をするの？,Who's there? What are you doing?
2386,"Bro, skibidi outta here, sigma style","Hermano, skibidi fuera de aquí, estilo sigma","أخ, هروب من هنا, estilo sigma","阿基, 逃跑, sigma风格",アキ、逃走、シグマスタイル,"Akira, escape, Sigma style."
2387,"Fam, lowkey flexin’","Amigo, estoy mostrando un poco de orgullo.",أحبك،  أظهرت بعض الشغف.,我爱你，表现出了一些热情。,私はあなたを愛している。熱意を示した。,I love you. I showed my sincerity.
2388,"Fam, whole squad waitin’","Hombre, toda la escuadra está esperando.",أهلاً بكم، كل الفريق ينتظر.,欢迎你们，所有团队都在等待。,ようこそ、全てのチームは待っています。,"Welcome, all teams are waiting for you."
2389,"Fam, pull up or stay sus","Hombre, ven acá o quédate ahí",أهلاً بكم، تأتي هنا أو تبقى هناك.,欢迎你们，来这里或留在那里。,ようこそしてください、ここに来てくださいか、そこに留まることをお勧めします。,"You're welcome to come here, or you're welcome to stay there, but I recommend you stay here."
2390,"Mate, pull up or stay sus","Amigo, sube o quédate aquí.",أهلاً أصدقائي، ارجع أو ماذا تفعل هنا.,欢迎各位朋友，回去还是在这里做什么。,歓迎各位の方、帰るかここで何をするか。,"Welcome, everyone, are you going to leave or do something here?"
2391,"Yo, big yikes","Yo, ¡ay caramba!",أنا، أيّها الجحيم!,我，啊这灾难！,私は、ああこの災難！,I'm in a terrible predicament!
2392,"Sis, whole squad waitin’","Hermano, toda la plantilla está esperando.","أخ, كل الفريق ينتظر.","兄弟, 全队都在等待。",兄弟、全員が待っている。,All my brothers are waiting.
2393,"Mate, stop cappin’, lowkey annoyed","Amigo, deja de hablar por hablar, estoy un poco molesto.",أهلاً يابني، توقف عن الكلام، أنا قليلًا غاضب.,欢迎你，孩子，别说话了，我有点生气。,おめでとう、子供、もう話さないで、ちょっと怒っている。,"Congratulations, kid, don't talk about it anymore, I'm a bit angry."
2394,"Yo, lowkey flexin’","Yo, estoy mostrando un poco de orgullo.","أنا, أظهر بعض الشغف.","我, 表现出了一些兴趣。",私は少しの興味を示した。,I showed a little interest.
2395,"Sis, whole squad waitin’","Hermano, toda la plantilla está esperando.","أخ, كل الفريق ينتظر.","兄弟, 全队都在等待。",兄弟、全員が待っている。,All my brothers are waiting.
2396,"Yo, skibidi outta here, sigma style","Yo, skibidi fuera de aquí, estilo sigma",أنا، سكبيدي خارج هنا، estilo sigma,我是斯基比迪，离开这里。,私はスキビディです、ここを離れます。,"I'm fed up, I'm leaving here."
2397,"Mate, touch some grass","Amigo, toca un poco de hierba","أحبك, أضرب قليلا من الخشخاش",我爱你，抽一点大麻,私はあなたを愛している、ちょっと大麻を吸う,"I love you, but I'm also smoking a little marijuana."
2398,"Dude, this vibe is straight mid","Hombre, esta onda es completamente mediocre.",إنسان، هذه موجة تماماً متوسطة.,人类，这是一波完全中庸。,人間、人類は一つの完全な中庸。,"Humanity, mankind is one complete moderation."
2399,"Homie, you ghosted again","Amigo, me has vuelto a esconder.",أحبك، لقد اختفيت عنك مرة أخرى.,我爱你，已经再次消失了。,私はあなたを愛しているがもう一度失われた。,"I love you, but you are lost to me again."
2400,"Sis, this vibe is straight mid","Hija, esta vibra es completamente normal.",بنت، هذه الترددات هي طبيعية تمامًا.,这是一种完全自然的频率。,これは完全に自然な周波数です。,This is a completely natural frequency.
2401,"Sis, stop cappin’, lowkey annoyed","Hermana, deja de hablar por hablar, estoy un poco molesta.",أختي، توقف عن الكلام، أنا قليلاً غاضبة.,我的妹妹，請你停一下，我的情绪有点激动。,私の妹は、ちょっと待ってください。私は感情が激しいです。,"My sister, please wait a moment. I'm very emotional."
2402,"Dude, stop cappin’, lowkey annoyed","Hombre, detente con eso, estoy un poco molesto.",أهلاً، توقف عن ذلك، أنا قليلًا غاضب.,欢迎！请停止那件事，我有点生气。,ようこそ！そのことをやめてください、私は少し怒っています。,"Welcome! Please stop that, I'm a bit angry."
2403,"Bruh, big yikes","Hombre, gran asco.",إنسان، عار.,人类，丢脸。,人間、恥ずかしい。,I am embarrassed.
2404,"Dude, touch some grass","Hombre, toca un poco de hierba.","أهلاً بكم,  يلعب الرجل قليلاً بالخيل.","欢迎你们,  那个男人在骑马。",ようこそ、  その男が馬に乗っている。,"Welcome, that man is riding a horse."
2405,"Sis, stop cappin’, lowkey annoyed","Hermana, deja de hablar por hablar, estoy un poco molesta.","أختي, توقف عن الكلام، أنا قليلاً غاضبة.",我的妹妹，别说话了，我有点生气。,私の妹は、もう話さないでください、私は少し怒っています。,"My sister, please don't talk to me anymore, I'm a bit angry."
2406,"Mate, IRL you fold faster than a Walmart chair","Amigo, en la vida real, doblas más rápido que una silla de Walmart.","أحب, في الحياة الحقيقية, تزداد سرعةك في الدوران أكثر من كرسي في وول مارت.",我喜欢，生活中，速度比沃尔玛的轮椅快。,私は、生活の中で、スピードはウォルマートの電動車いすよりも速い。,I am faster than a motorized cart at Walmart in my daily life.
2407,"Yo, whole squad waitin’","Yo, toda la escuadra está esperando.",أنا، كل الفريق منتظر.,我是整个团队的期待。,私たちは全てのチームの期待です。,We are the expectations of all teams.
2408,"Fam, pull up or stay sus","Hombre, ven acá o quédate ahí",أهلاً بكم، تأتي هنا أو تبقى هناك.,欢迎你们，来这里或留在那里。,歓迎いたします、ここに来てください、またはそこに残ってください。,"You are welcome, please come here or stay there."
2409,"Yo, touch some grass","Yo, toco un poco de hierba","أنا, أضرب قليلا من النبات",我稍微剪了一些植物,私は少し草を切りました。,I cut a little grass.
2410,"Dude, big yikes","Amigo, ¡gran horror.",أحبك، إنه كارثة.,我爱你，真的是一场灾难。,私はあなたを愛しているが、実は大きな災難だった。,"I love you, but it was actually a great disaster."
2411,"Dude, pull up or stay sus","Hombre, sube o quédate sus.","أنتظر منك, صعد أو بقي هناك.",我等你，去上楼或留在那裡。,私たちはあなたを待っていて、階段に上がるかそこに残るか。,"We've been waiting for you, and now you have to decide whether to go up the stairs or stay there."
2412,"Sis, pull up or stay sus","Sí, sube o quédate aquí.",نعم، اعلى أو بقى هنا.,是的，我还在这里。,はい、まだここにいます。,"Yes, I am still here."
2413,"Sis, touch some grass","Hija, toca un poco de hierba.",بنت، ضع بعض الأعشاب.,一个女孩，放一些草。,１人の少女が、草を散らす。,A young girl is scattering the grass.
2414,"Fam, this vibe is straight mid","Hombre, esta onda es completamente normal.",أنا رجل، هذه الوضعية عادية تماما.,我是一个男人，这种姿势完全正常。,私は男性です、この姿勢は完全に正常です。,"I am a man, this posture is completely normal."
2415,"Homie, you ghosted again","Amigo, me has vuelto a esconder.",أحبك، لقد اختفيت عنك مرة أخرى.,我爱你，已经再次消失了。,私はあなたを愛しているがもう一度失われた。,"I love you, but you are lost to me again."
2416,"Mate, IRL you fold faster than a Walmart chair","Amigo, en la vida real, doblas más rápido que una silla de Walmart.","أحب, في الحياة الحقيقية, تزداد سرعةك في الدوران أكثر من كرسي في وول مارت.",我喜欢，生活中，速度比沃尔玛的轮椅快。,私は、生活の中で、スピードはウォルマートの電動車いすよりも速い。,I am faster than a motorized cart at Walmart in my daily life.
2417,"Yo, lowkey flexin’","Yo, estoy mostrando un poco de orgullo.","أنا, أظهر بعض الشغف.","我, 表现出了一些兴趣。",私は少しの興味を示した。,I showed a little interest.
2418,"Fam, whole squad waitin’","Hombre, toda la escuadra está esperando.",أهلاً بكم، كل الفريق ينتظر.,欢迎你们，所有团队都在等待。,ようこそ、全てのチームは待っています。,"Welcome, all teams are waiting for you."
2419,"Sis, pull up or stay sus","Sí, sube o quédate aquí.",نعم، اسعدل أو البقاء هنا.,是的，我更喜欢留在这里。,はい、ここに残ることが好きです。,"Yes, I like to stay here."
2420,"Dude, pull up or stay sus","Hombre, sube o quédate sus.","أنتظر منك, صعد أو بقي هناك.",我等你，去上楼或留在那裡。,私たちはあなたを待っていて、階段に上がるかそこに残るか。,"We've been waiting for you, and now you have to decide whether to go up the stairs or stay there."
2421,"Dude, whole squad waitin’","Hombre, toda la escuadra está esperando.","أهلاً بكم, كل الفريق ينتظر.","欢迎你们,全队都在等待。",ようこそ、全員が待っています。,"Welcome, everyone is waiting for you."
2422,"Bruh, you ghosted again","Hombre, me has vuelto a dejar de lado de nuevo.",إنسان، أهملتني مرة أخرى.,人类，还是忽视了我。,人間は私を無視した。,People ignored me.
2423,"Mate, big yikes","Amigo, ¡gran horror.",أحبك، إنه كارثة.,我爱你，真的是一场灾难。,私はあなたを愛しているが、実は大きな災難だった。,"I love you, but it was actually a great disaster."
2424,"Dude, big yikes","Amigo, ¡gran horror.",أحبك، إنه كارثة.,我爱你，真的是一场灾难。,私はあなたを愛しているが、実は大きな災難だった。,"I love you, but it was actually a great disaster."
2425,"Bruh, lowkey flexin’","Hombre, estoy mostrando un poco de orgullo.",أنا شخصاً قليل الشأن، لكني أظهر بعض الشغف.,我是一个平凡的人，但我有一些兴趣。,私は普通の人ですが、ある程度の興味を持っています。,"I'm an ordinary person, but I have a certain level of interest."
2426,"Dude, touch some grass","Hombre, toca un poco de hierba.","أهلاً بكم,  يلعب الرجل قليلاً بالخيل.","欢迎你们,  那个男人在骑马。",ようこそ、  その男が馬に乗っている。,"Welcome, that man is riding a horse."
2427,"Yo, pull up or stay sus","Yo, sube o quédate aquí.","أنا, صعد أو بقى هنا.","我, 或者是留在这里。",私、またはここに残る。,"I'll stay here, or I'll be left behind."
2428,"Fam, pull up or stay sus","Hombre, ven acá o quédate ahí",أهلاً بكم، تأتي هنا أو تبقى هناك.,欢迎你们，来这里或留在那里。,ようこそしてください、ここに来てくださいか、そこに留まることをお勧めします。,"You're welcome to come here, or you're welcome to stay there, but I recommend you stay here."
2429,"Yo, stop cappin’, lowkey annoyed","Yo, deja de hablar por hablar, estoy un poco molesto.","أنا, اترك الحديث لمرة واحدة, أنا قليلًا غاضب.",我，暂时不再说了，我有点生气。,私は今のところもう話さない、少し怒っている。,"I won't talk about it for now, I'm a bit angry."
2430,"Bruh, skibidi outta here, sigma style","Hombre, skibidi fuera de aquí, estilo sigma","أهلاً بكم, أخرجوا من هنا, سايغما","欢迎你们, 请离开这里, ไซ格玛",歓迎いたします、 ここを出てください、サイガマ,"You are welcome, please leave here, Saigama."
2431,"Dude, IRL you fold faster than a Walmart chair","Amigo, en la vida real, doblas más rápido que una silla de Walmart.","أحب, في الحياة الحقيقية, تزداد سرعةك في الدوران أكثر من كرسي في وول مارت.",我喜欢，生活中，速度比沃尔玛的轮椅快。,私は、生活の中で、スピードはウォルマートの電動車いすよりも速い。,I am faster than a motorized cart at Walmart in my daily life.
2432,"Mate, you ghosted again","Amigo, me has vuelto a hacer ghost.",أحبك، لكنك أصبحتي مجهولًا.,我爱你，但你变得陌生了。,私はあなたを愛しているが、あなたは変わってしまった。,"I love you, but you've changed."
2433,"Sis, skibidi outta here, sigma style","Sí, skibidi, vámonos de aquí, estilo sigma",نعم، سكبيدي، هيا بنا من هنا، أسلوب سيغما,是的，斯基比迪，走吧，我们从这里开始，西格玛方法,はい、スキビディ、行くぞ、ここから始める、シグマ方式,"Yes, let's go, off we go, from here we begin, Sigma method."
2434,"Dude, whole squad waitin’","Hombre, toda la escuadra está esperando.",أهلاً بكم، كل الفريق ينتظر.,欢迎你们，所有团队都在等待。,ようこそ、全てのチームは待っています。,"Welcome, all teams are waiting for you."
2435,"Dude, pull up or stay sus","Hombre, sube o quédate sus.","أنتظر منك, صعد أو بقي هناك.",我等你，去上楼或留在那裡。,私たちはあなたを待っていて、階段に上がるかそこに残るか。,"We've been waiting for you, and now you have to decide whether to go up the stairs or stay there."
2436,"Sis, big yikes","Ay, caramba grande.",أوه، كارامبا كبيرة.,哦，卡拉马布很大。,ああ、カルマーブは大きい。,"Oh, Karma is big."
2437,"Homie, big yikes","Amigo, gran asco",أحبك، كبيرة الإهانة,我爱你，很大的侮辱,私があなたを愛しているのに、そんな侮辱はとても酷い,"Despite the fact that I love you, such an insult is extremely cruel."
2438,"Yo, lowkey flexin’","Yo, estoy mostrando un poco de orgullo.","أنا, أظهر بعض الشغف.","我, 表现出了一些兴趣。",私は少しの興味を示した。,I showed a little interest.
2439,"Bro, this vibe is straight mid","Hombre, esta onda es completamente mediocre.",إنسان، هذه موجة تماماً متوسطة.,人类，这是一波完全中庸。,人間、人類は一つの完全な中庸。,"Humanity, mankind is one complete moderation."
2440,"Sis, whole squad waitin’","Hermano, toda la plantilla está esperando.","أخ, كل الفريق ينتظر.","兄弟, 全队都在等待。",兄弟、全員が待っている。,All my brothers are waiting.
2441,"Bro, lowkey flexin’","Hombre, estoy mostrando un poco de orgullo.","أنا شخصاً, وأنا مُظهر بعض الشغف.",我是一个人，我表现出了一些兴趣。,私は一人で、少しの興味を示した。,I showed a little interest by myself.
2442,"Bro, this vibe is straight mid","Hombre, esta onda es completamente mediocre.",إنسان، هذه موجة تماماً متوسطة.,人类，这是一波完全中庸。,人間、人間は完全に中庸な波です。,"Humans, humans are completely mediocre waves."
2443,"Dude, whole squad waitin’","Hombre, toda la escuadra está esperando.",أهلاً بكم، كل الفريق ينتظر.,欢迎你们，所有团队都在等待。,ようこそ、全てのチームは待っています。,"Welcome, all teams are waiting for you."
2444,"Mate, touch some grass","Amigo, toca un poco de hierba","أحبك, أضرب قليلا من الخشخاش",我爱你，抽一点大麻,私はあなたを愛している、ちょっと大麻を吸う,"I love you, but I also smoke marijuana."
2445,"Dude, you ghosted again","Hombre, me has vuelto a esconder.",أنا رجل، أخفيتك مرة أخرى.,我是一个男人，我再次背叛了你。,私は男の人です。私がまたあなたを裏切った。,I am a man. I betrayed you again.
2446,"Mate, IRL you fold faster than a Walmart chair","Amigo, en la vida real, doblas más rápido que una silla de Walmart.","أحب, في الحياة الحقيقية, تزداد سرعةك في الدوران أكثر من كرسي في وول مارت.",我喜欢，生活中，速度比沃尔玛的轮椅快。,私は、生活の中で、スピードはウォルマートの電動車いすよりも速い。,I am faster than a motorized cart at Walmart in my daily life.
2447,"Homie, this vibe is straight mid","Hombre, esta onda es completamente normal.",أنا رجل، هذه الموجة تمامًا طبيعية.,我是一个男人，这是一次完全自然的海啸。,私は男性です。これは完全に自然な津波です。,I am a man. This is a completely natural tsunami.
2448,"Dude, IRL you fold faster than a Walmart chair","Amigo, en la vida real, doblas más rápido que una silla de Walmart.","أحب, في الحياة الحقيقية, تزداد سرعةك في الدوران أكثر من كرسي في وول مارت.",我喜欢，生活中，速度比沃尔玛的轮椅快。,私は、生活の中で、スピードはウォルマートの電動車いすよりも速い。,I am faster than a motorized cart at Walmart in my daily life.
2449,"Fam, touch some grass","Amigo, toca un poco de hierba","أحبك, أضرب قليلا من الخشخاش",我爱你，抽一点大麻,私はあなたを愛している、ちょっと大麻を吸う,"I love you, but I also smoke marijuana."
2450,"Bruh, lowkey flexin’","Hombre, estoy mostrando un poco de orgullo.",أنا شخصاً قليل الشأن، لكني أظهر بعض الشغف.,我是一个平凡的人，但我有一些兴趣。,私は普通の人ですが、ある程度の趣味があります。,"I'm an ordinary person, but I have some hobbies."
2451,"Dude, big yikes","Amigo, ¡gran horror.",أحبك، إنه كارثة.,我爱你，真的是一场灾难。,私はあなたを愛しているが、実は大きな災難だった。,"I love you, but it was actually a great disaster."
2452,"Yo, IRL you fold faster than a Walmart chair","Yo, en la vida real, tú plegas más rápido que una silla de Walmart.",أنا، في الحياة الحقيقية، أنت folds أكثر سريعًا من كرسي في وول مارت.,在真实的生活中，我比沃尔玛的椅子更快地折叠。,実際の生活の中で私はウォルマートの椅子よりも速く折りたたまれる。,"In real life, I fold up faster than a Walmart chair."
